id,site_id,title,seller_id,category_id,official_store_id,price,base_price,original_price,currency_id,initial_quantity,buying_mode,listing_type_id,condition
MLA1375500305,MLA,Chromecast Google Tv Hd 8gb 2gb Ram 60 Fps Wifi Bluetooth Hdmi 4ta Gen Blanco,154567859,MLA352001,,67500.0,67500.0,0.0,ARS,270,buy_it_now,gold_special,new
MLA1520576020,MLA,Chromecast Google Tv Hd 8gb 2gb Ram 60 Fps Wifi Bluetooth Hdmi 4ta Gen Blanco,1473286957,MLA352001,,71790.0,71790.0,0.0,ARS,390,buy_it_now,gold_special,new
MLA1696276176,MLA,Google Chromecast 3ra Gen,216203805,MLA352001,,89500.0,89500.0,89500.0,ARS,100,buy_it_now,gold_special,new
MLA1402963155,MLA,Google Chromecast With Google Tv Ga01919-us De Voz 4.ª Generación Full Hd 8gb Sky Con 2gb De Memoria Ram,135917254,MLA352001,,91994.0,91994.0,0.0,ARS,15,buy_it_now,gold_special,new
MLA1411002341,MLA,Google Chromecast Con Google Tv Hd - Blanco,144027037,MLA352001,,69834.0,69834.0,0.0,ARS,130,buy_it_now,gold_special,new
MLA1691559496,MLA,Google Chromecast With Google Tv De Voz 4.ª Generación 1080p 8gb Snow Con 2gb De Memoria Ram,135335976,MLA352001,,101499.0,101499.0,0.0,ARS,40,buy_it_now,gold_special,new
MLA1658673372,MLA,Google Chromecast 3ra Generación Streaming Hdmi Celular Color Negro Tipo De Control Remoto Negro,1473286957,MLA352001,,56499.0,56499.0,0.0,ARS,200,buy_it_now,gold_special,new
MLA1391964105,MLA,Onn Uhd Streaming 4k 2 Gb Ram Google Tv 2023 Color Negro Tipo De Control Remoto Control De Voz,207056678,MLA352001,,71333.0,71333.0,0.0,ARS,687,buy_it_now,gold_special,new
MLA1690373948,MLA,Google Chromecast Hd,541665065,MLA352001,,71999.0,71999.0,0.0,ARS,20,buy_it_now,gold_special,new
MLA1664307948,MLA,Google Chromecast With Google Tv Ga01919-us De Voz 4.ª Generación 4k 8gb Sunrise Con 2gb De Memoria Ram,148613909,MLA352001,,98945.0,98945.0,0.0,ARS,83,buy_it_now,gold_special,new
MLA1116497725,MLA,Google Chromecast 2.ª Generación Full Hd 256mb Negro Con 512mb De Memoria Ram,309453406,MLA352001,,59803.0,59803.0,69990.0,ARS,2641,buy_it_now,gold_special,new
MLA1391264291,MLA,Android Tv Stick Control De Voz Full Hd 16gb Con 2gb De Ram,302056611,MLA352001,,59999.0,59999.0,0.0,ARS,242,buy_it_now,gold_pro,new
MLA1565567354,MLA,Tv Stick Realme 4k Smart Tv Stick De Voz 4k 8gb Negro Con 2gb De Memoria Ram,621229920,MLA352001,,65882.0,65882.0,0.0,ARS,32,buy_it_now,gold_special,new
MLA1402472401,MLA,Xiaomi Mi Box S De Voz 4k 8gb  Negro Con 2gb De Memoria Ram,1002842391,MLA352001,,129999.0,129999.0,0.0,ARS,135,buy_it_now,gold_special,new
MLA1385641269,MLA,Chromecast 4 Google Tv Hd 8gb 2gb Ram Wifi Bluetooth Blanco,1002842391,MLA352001,,79999.0,79999.0,0.0,ARS,633,buy_it_now,gold_special,new
MLA877404372,MLA,Google Chromecast 3 Generacion Full Hd En Caja Con Fuente,234883070,MLA352001,,56499.0,56499.0,0.0,ARS,487,buy_it_now,gold_special,new
MLA1498171106,MLA,Google Chromecast 3 Negro,284824585,MLA352001,,61238.0,61238.0,74990.0,ARS,1099,buy_it_now,gold_special,new
MLA1693660688,MLA,Xiaomi Mi Box S Mdz-22-ab De Voz 4k 8gb Negro Con 2gb De Memoria Ram,1002842391,MLA352001,,134999.0,134999.0,0.0,ARS,50,buy_it_now,gold_special,new
MLA1365631869,MLA,Chromecast 4 Google Tv Full Hd En Caja Con Cargador Original,126269313,MLA352001,,75999.2,75999.2,94999.0,ARS,4571,buy_it_now,gold_special,new
MLA1256846341,MLA,Chromecast Smart Netflix Google Tv Full Hd Hdr Contr Remoto,9198894,MLA352001,,75999.05,75999.05,79999.0,ARS,619,buy_it_now,gold_special,new
MLA1391264941,MLA,Google Chromecast 3rd Generation  Full Hd  Carbón,328024080,MLA352001,,57465.5,57465.5,60490.0,ARS,425,buy_it_now,gold_pro,new
MLA1366062917,MLA,Chromecast Google 4 Full Hd Google Tv Box 4ta Gen Streaming,541665065,MLA352001,,71999.0,71999.0,0.0,ARS,176,buy_it_now,gold_special,new
MLA1670300012,MLA,Google Chromecast With Google Tv De Voz 4.ª Generación 4k 8g,439104803,MLA352001,,89990.0,89990.0,0.0,ARS,19,buy_it_now,gold_special,new
MLA767075653,MLA,Google Chromecast 2 Gen Smart Tv Hdmi Netflix Bulk Sin Caja,82274172,MLA352001,,46999.0,46999.0,0.0,ARS,2077,buy_it_now,gold_special,new
MLA778066728,MLA,Google Chromecast 3 Generacion Nuevo En Caja Hdmi Eps,165975732,MLA352001,,56499.0,56499.0,0.0,ARS,597,buy_it_now,gold_special,new
